country,gfp_code,power_index,active_personnel,reserve_personnel,total_aircraft,fighter_aircraft,attack_aircraft,attack_helicopters,total_helicopters,total_naval,submarines,aircraft_carriers,destroyers,frigates,tanks,self_propelled_artillery,towed_artillery,defense_budget_usd,oil_production_bpd,labor_force,total_population,coastline_km,border_km
Bangladesh,BNG,0.6517,204000.0,0.0,212.0,41.0,0.0,0.0,67.0,121.0,2.0,0.0,0.0,7.0,320.0,36.0,487.0,3340000000.0,13000.0,77355000.0,168697184.0,580.0,4413.0
Portugal,POR,0.6659,25000.0,23500.0,128.0,28.0,5.0,0.0,36.0,128.0,2.0,0.0,0.0,5.0,34.0,23.0,54.0,6760000000.0,12932.0,5332100.0,10639726.0,1793.0,1224.0
Norway,NOR,0.6679,33440.0,20100.0,109.0,0.0,43.0,0.0,34.0,48.0,6.0,0.0,0.0,4.0,36.0,28.0,0.0,11189483200.0,2020000.0,3042000.0,5509733.0,25148.0,2566.0
South Africa,SAF,0.6843,68731.0,29350.0,181.0,2.0,0.0,10.0,87.0,63.0,3.0,0.0,0.0,4.0,248.0,52.0,434.0,2877000000.0,88000.0,27766000.0,60442647.0,2798.0,5244.0
Philippines,PHL,0.6993,160000.0,1500000.0,204.0,0.0,17.0,6.0,130.0,127.0,0.0,0.0,0.0,4.0,18.0,12.0,296.0,6571641011.0,10000.0,50979000.0,118277063.0,36289.0,0.0
Malaysia,MLY,0.7379,113000.0,51600.0,132.0,25.0,11.0,0.0,45.0,100.0,2.0,0.0,0.0,2.0,48.0,0.0,196.0,5100000000.0,582000.0,18264000.0,34564810.0,4675.0,2742.0
Colombia,COL,0.7551,429000.0,998000.0,430.0,16.0,24.0,0.0,255.0,213.0,4.0,0.0,0.0,9.0,0.0,6.0,110.0,15800000000.0,800000.0,26822000.0,49588357.0,3208.0,6672.0
Iraq,IRQ,0.8115,193000.0,0.0,360.0,26.0,36.0,39.0,183.0,67.0,0.0,0.0,0.0,0.0,1188.0,434.0,610.0,8000000000.0,4448000.0,12008000.0,42083436.0,58.0,3809.0
Denmark,DEN,0.8198,21000.0,12000.0,122.0,26.0,19.0,0.0,34.0,50.0,0.0,0.0,0.0,9.0,44.0,19.0,0.0,14250000000.0,63000.0,3210000.0,5973136.0,7314.0,140.0
Switzerland,SWZ,0.8396,147178.0,0.0,141.0,40.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,134.0,133.0,0.0,8372658426.0,300.0,5153000.0,8860574.0,0.0,1770.0
Ethiopia,ETH,0.8525,503000.0,138000.0,104.0,25.0,0.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,338.0,142.0,469.0,3720968976.0,0.0,54470000.0,118550298.0,0.0,5925.0
Finland,FIN,0.8673,24000.0,870000.0,162.0,53.0,0.0,0.0,27.0,165.0,0.0,0.0,0.0,0.0,200.0,125.0,667.0,8890000000.0,8000.0,2898000.0,5626414.0,1250.0,2563.0
Chile,CHI,0.8704,80000.0,40000.0,274.0,45.0,0.0,0.0,86.0,130.0,4.0,0.0,0.0,8.0,386.0,48.0,249.0,6800000000.0,11000.0,10088000.0,18664652.0,6435.0,7801.0
Peru,PER,0.8827,120000.0,386000.0,252.0,15.0,22.0,16.0,112.0,78.0,6.0,0.0,0.0,7.0,355.0,12.0,290.0,2552000000.0,118000.0,18918000.0,32600249.0,2414.0,7062.0
